person_sex,black,parent_edu_college,birth_underweight,birth_age,edu_college,mother_marital_at_birth,prt_inc,hh_inc_at_30,hh_inc_at_31,hh_inc_at_32,hh_inc_at_33,hh_inc_at_34,hh_inc_at_35
1,0,1,0,27,1,1,82102.6815237752,41554.3792107796,71561.3382899628,52509.1240875912,77024.647887324,65934.0659340659,70967.7419354839
1,0,1,0,29,1,1,82102.6815237752,26733.5766423358,30193.661971831,37616.2299239222,49193.5483870968,59372.6090283091,60352.422907489
1,0,1,0,30,1,1,82102.6815237752,31165.4929577465,31197.8021978022,35683.064516129,41078.0413159908,44000.7342143906,44057.0206699929
0,0,1,0,32,1,1,82102.6815237752,42496.7741935484,56348.1254781943,56097.6505139501,62364.2195295795,72658.1314878893,92108.636977058
0,0,1,0,26.5,1,1,123017.966189209,NaN,47927.7687734108,NaN,NaN,NaN,NaN
0,0,1,0,28.5,0,1,52629.6237274001,NaN,17416.9920043999,NaN,6859.22734133258,NaN,28136.7484380494
1,0,1,0,31.5,0,1,52629.6237274001,9159.44199086445,NaN,12779.595921348,NaN,NaN,NaN
0,0,1,0,28.5,0,1,123017.966189209,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,30.5,1,1,123017.966189209,NaN,48104.6014272964,NaN,NaN,NaN,NaN
0,0,1,0,39,0,1,24728.5840329163,63275.5474452555,NaN,5249.84687946602,NaN,6840.90845735085,NaN
1,0,1,0,24.5,1,1,76490.5182645632,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,28.5,0,1,76490.5182645632,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,30.5,0,1,76490.5182645632,NaN,NaN,NaN,NaN,NaN,NaN
